Distance,RayParameter,TravelTime
83.4,4.390,753.51
83.5,4.390,753.95
83.6,4.391,754.39
83.7,4.392,754.83
83.8,4.393,755.27
83.9,4.393,755.71
84,4.394,756.15
84.1,4.395,756.59
84.2,4.395,757.03
84.3,4.396,757.47
84.4,4.397,757.91
84.5,4.398,758.35
84.6,4.398,758.79
84.7,4.399,759.23
84.8,4.400,759.67
84.9,4.400,760.11
85,4.401,760.55
85.1,4.402,760.99
85.2,4.402,761.43
85.3,4.403,761.87
85.4,4.404,762.31
85.5,4.404,762.75
85.6,4.405,763.19
85.7,4.405,763.63
85.8,4.406,764.07
85.9,4.407,764.51
86,4.407,764.95
86.1,4.408,765.39
86.2,4.409,765.83
86.3,4.409,766.27
86.4,4.410,766.71
86.5,4.410,767.15
86.6,4.411,767.60
86.7,4.411,768.04
86.8,4.412,768.48
86.9,4.413,768.92
87,4.413,769.36
87.1,4.414,769.80
87.2,4.414,770.24
87.3,4.415,770.68
87.4,4.415,771.13
87.5,4.416,771.57
87.6,4.416,772.01
87.7,4.417,772.45
87.8,4.417,772.89
87.9,4.418,773.33
88,4.418,773.78
88.1,4.419,774.22
88.2,4.419,774.66
88.3,4.420,775.10
88.4,4.420,775.54
88.5,4.421,775.99
88.6,4.421,776.43
88.7,4.422,776.87
88.8,4.422,777.31
88.9,4.423,777.75
89,4.423,778.20
89.1,4.424,778.64
89.2,4.424,779.08
89.3,4.425,779.52
89.4,4.425,779.97
89.5,4.425,780.41
89.6,4.426,780.85
89.7,4.426,781.29
89.8,4.427,781.74
89.9,4.427,782.18
90,4.427,782.62
90.1,4.428,783.06
90.2,4.428,783.51
90.3,4.429,783.95
90.4,4.429,784.39
90.5,4.429,784.84
90.6,4.430,785.28
90.7,4.430,785.72
90.8,4.430,786.17
90.9,4.431,786.61
91,4.431,787.05
91.1,4.432,787.49
91.2,4.432,787.94
91.3,4.432,788.38
91.4,4.433,788.82
91.5,4.433,789.27
91.6,4.433,789.71
91.7,4.434,790.15
91.8,4.434,790.60
91.9,4.434,791.04
92,4.434,791.48
92.1,4.435,791.93
92.2,4.435,792.37
92.3,4.435,792.81
92.4,4.436,793.26
92.5,4.436,793.70
92.6,4.436,794.15
92.7,4.437,794.59
92.8,4.437,795.03
92.9,4.437,795.48
93,4.437,795.92
93.1,4.438,796.36
93.2,4.438,796.81
93.3,4.438,797.25
93.4,4.438,797.70
93.5,4.439,798.14
93.6,4.439,798.58
93.7,4.439,799.03
93.8,4.439,799.47
93.9,4.439,799.91
94,4.440,800.36
94.1,4.440,800.80
94.2,4.440,801.25
94.3,4.440,801.69
94.4,4.441,802.13
94.5,4.441,802.58
94.6,4.441,803.02
94.7,4.441,803.47
94.8,4.441,803.91
94.9,4.441,804.36
95,4.442,804.80
95.1,4.442,805.24
95.2,4.442,805.69
95.3,4.442,806.13
95.4,4.442,806.58
95.5,4.443,807.02
95.6,4.443,807.46
95.7,4.443,807.91
95.8,4.443,808.35
95.9,4.443,808.80
96,4.443,809.24
96.1,4.443,809.69
96.2,4.443,810.13
96.3,4.444,810.57
96.4,4.444,811.02
96.5,4.444,811.46
96.6,4.444,811.91
96.7,4.444,812.35
96.8,4.444,812.80
96.9,4.444,813.24
97,4.444,813.69
97.1,4.444,814.13
97.2,4.445,814.57
97.3,4.445,815.02
97.4,4.445,815.46
97.5,4.445,815.91
97.6,4.445,816.35
97.7,4.445,816.80
97.8,4.445,817.24
97.9,4.445,817.69
98,4.445,818.13
98.1,4.445,818.58
98.2,4.445,819.02
98.3,4.445,819.46
98.4,4.445,819.91
98.5,4.445,820.35
98.6,4.445,820.80
98.7,4.446,821.24
98.8,4.446,821.69
98.9,4.446,822.13
99,4.446,822.58
99.1,4.446,823.02
99.2,4.446,823.47
99.3,4.446,823.91
99.4,4.446,824.35
99.5,4.446,824.80
99.6,4.446,825.24
